mirna_id	target_gene_id
hsa-miR-98-5p	8091
hsa-miR-20a-5p	4209
hsa-miR-17-5p	4209
hsa-miR-338-3p	10472
hsa-miR-122-5p	226
hsa-let-7a-5p	3159
hsa-miR-449a	1021
hsa-miR-29c-3p	1021
hsa-miR-204-5p	7048
hsa-miR-141-3p	5728
hsa-miR-20a-5p	5728
hsa-miR-18a-5p	5728
hsa-miR-19b-3p	5728
hsa-miR-25-3p	10018
hsa-miR-96-5p	1026
hsa-miR-125b-5p	51621
hsa-miR-19a-3p	595
hsa-miR-16-5p	894
hsa-miR-98-5p	4609
hsa-miR-302b-3p	894
hsa-miR-34b-3p	1021
hsa-miR-302a-3p	595
hsa-miR-370-3p	8091
hsa-miR-122-5p	25778
hsa-miR-128-3p	1871
hsa-miR-32-5p	10018
hsa-let-7c-5p	4609
hsa-miR-19b-3p	6310
hsa-miR-19a-3p	6310
hsa-miR-130a-3p	6310
hsa-miR-147a	7422
hsa-miR-134-5p	7422
hsa-miR-140-5p	7422
hsa-miR-29b-3p	7422
hsa-miR-107	7422
hsa-miR-197-3p	5888
hsa-let-7b-5p	894
hsa-miR-1-3p	79794
hsa-miR-16-5p	7422
hsa-miR-15b-5p	595
hsa-miR-140-5p	2247
hsa-miR-26a-5p	4609
hsa-miR-199a-3p	5594
hsa-miR-125b-5p	2872
hsa-miR-200a-3p	2627
hsa-miR-29a-3p	2752
hsa-miR-129-5p	6659
hsa-miR-34a-5p	7528
hsa-miR-93-5p	7422
hsa-miR-7-5p	829
hsa-miR-19b-3p	29116
hsa-miR-125a-5p	7157
hsa-miR-92a-3p	29116
hsa-miR-192-5p	1654
hsa-miR-197-3p	5576
hsa-miR-218-5p	6667
hsa-miR-17-5p	7422
hsa-miR-150-5p	7422
hsa-miR-195-5p	7422
hsa-miR-15b-5p	7422
hsa-miR-15a-5p	7422
hsa-miR-520g-3p	7422
hsa-miR-378a-3p	7422
hsa-miR-330-3p	7422
hsa-miR-491-5p	598
hsa-miR-145-5p	4609
hsa-miR-98-5p	8202
hsa-miR-21-5p	8202
hsa-miR-21-5p	4609
hsa-miR-19b-3p	8202
hsa-miR-18a-5p	8202
hsa-miR-29b-3p	8202
hsa-miR-223-3p	4784
hsa-miR-195-5p	6497
hsa-miR-34b-5p	4609
hsa-miR-34c-5p	4609
hsa-miR-34a-5p	4194
hsa-miR-383-5p	7422
hsa-miR-125a-5p	7422
hsa-miR-361-5p	7422
hsa-miR-20a-5p	7422
hsa-miR-20b-5p	7422
hsa-miR-19a-3p	10018
hsa-miR-504-5p	7422
hsa-miR-520h	7422
hsa-miR-133b	3480
hsa-miR-372-3p	7422
hsa-miR-106a-5p	7422
hsa-miR-106b-5p	7422
