n,time,estimator
100,0.16164369508624077,bxt_gso
100,0.25825100392103195,bdt_gso
100,0.1837932337075472,bxt_gmo
100,0.7276722192764282,bdt_gmo
109,0.2020603958517313,bxt_gso
109,0.34665636345744133,bdt_gso
109,0.23653781972825527,bxt_gmo
109,0.9656850546598434,bdt_gmo
120,0.2678653746843338,bxt_gso
120,0.4661616235971451,bdt_gso
120,0.3173416070640087,bxt_gmo
120,1.3106596246361732,bdt_gmo
132,0.3554001823067665,bxt_gso
132,0.6114763021469116,bdt_gso
132,0.4194674678146839,bxt_gmo
132,1.7996654957532883,bdt_gmo
145,0.4661871939897537,bxt_gso
145,0.813935924321413,bdt_gso
145,0.5584602523595095,bxt_gmo
145,2.425949001684785,bdt_gmo
159,0.6104076039046049,bxt_gso
159,1.0527244992554188,bdt_gso
159,0.7305182125419378,bxt_gmo
159,3.2728753089904785,bdt_gmo
175,0.8103525713086128,bxt_gso
175,1.4494418483227491,bdt_gso
175,0.9736329093575478,bxt_gmo
175,4.490752113983035,bdt_gmo
193,1.0768453553318977,bxt_gso
193,1.9046752024441957,bdt_gso
193,1.3141194358468056,bxt_gmo
193,6.669915534555912,bdt_gmo
212,1.4197692144662142,bxt_gso
212,2.5166231393814087,bdt_gso
212,1.7865807358175516,bxt_gmo
212,8.399505095556378,bdt_gmo
232,1.8654759488999844,bxt_gso
232,3.3217325434088707,bdt_gso
232,2.2748313918709755,bxt_gmo
232,11.344461815431714,bdt_gmo
255,2.445082865655422,bxt_gso
255,4.291429903358221,bdt_gso
255,3.0254373848438263,bxt_gmo
255,15.390105452388525,bdt_gmo
281,3.2794760894030333,bxt_gso
281,5.815632933750749,bdt_gso
281,4.1097228694707155,bxt_gmo
281,21.054923623800278,bdt_gmo
308,4.2763761803507805,bxt_gso
308,7.631580375134945,bdt_gso
308,5.450793178752065,bxt_gmo
308,28.182194128632545,bdt_gmo
339,5.688203819096088,bxt_gso
339,10.137389345094562,bdt_gso
339,7.264084978029132,bxt_gmo
339,38.71773683466017,bdt_gmo
372,7.490796577185392,bxt_gso
372,13.430352199822664,bdt_gso
372,9.474826453253627,bxt_gmo
372,52.74334573559463,bdt_gmo
409,9.897001672536135,bxt_gso
409,17.96171903423965,bdt_gso
