ncID	tarID
NONHSAG016770	Q96PU8
NONHSAG016770	K7EKN9
NONHSAG016770	B3FTN5
NONHSAG024903	Q6ZN17
NONHSAG024903	Q9C0J8
NONHSAG025069	Q9C0J8
NONHSAG024282	Q9C0J8
NONHSAG025094	Q9C0J8
NONHSAG025133	Q9C0J8
NONHSAG032297	Q9C0J8
NONHSAG017222	Q9C0J8
NONHSAG024666	Q9C0J8
NONHSAG041707	Q9C0J8
NONHSAG050750	Q9C0J8
NONHSAG037936	P55265
NONHSAG037936	Q9C0J8
NONHSAG037936	F8WD15
NONHSAG037936	B3FTN5
NONHSAG023237	Q9C0J8
NONHSAG023238	Q9C0J8
NONHSAG032803	P55265
NONHSAG032803	Q9C0J8
NONHSAG001351	Q9C0J8
NONHSAG015097	Q5T481
NONHSAG035271	Q9C0J8
NONHSAG035271	Q9UKA9
NONHSAG035271	F8WD15
NONHSAG035397	Q9C0J8
NONHSAG034421	Q9C0J8
NONHSAG054208	Q9C0J8
NONHSAG015510	P14866
NONHSAG015510	Q9C0J8
NONHSAG034341	Q9C0J8
NONHSAG003658	Q9C0J8
NONHSAG003658	P38432
NONHSAG047841	Q9C0J8
NONHSAG050725	Q9C0J8
NONHSAG050725	F8WD15
NONHSAG050725	Q8TB72
NONHSAG050725	B3FTN5
NONHSAG015179	Q9C0J8
NONHSAG012534	Q9C0J8
NONHSAG047182	Q9C0J8
NONHSAG047182	B3FTN5
NONHSAG022078	Q9C0J8
NONHSAG022078	F8WD15
NONHSAG022078	B3FTN5
NONHSAG011269	Q9C0J8
NONHSAG011267	Q9C0J8
NONHSAG029906	Q9C0J8
NONHSAG029906	F8WD15
NONHSAG029906	Q8TB72
NONHSAG029906	B3FTN5
NONHSAG012608	Q9C0J8
NONHSAG004975	Q9C0J8
NONHSAG004975	F8WD15
NONHSAG024799	P55265
NONHSAG024799	Q9C0J8
NONHSAG003938	P55265
NONHSAG003938	Q9C0J8
NONHSAG003938	F8WD15
NONHSAG033168	Q9C0J8
NONHSAG034973	Q9C0J8
NONHSAG018244	Q9C0J8
NONHSAG018244	F8WD15
NONHSAG018244	B3FTN5
NONHSAG018223	Q9C0J8
NONHSAG018256	Q9C0J8
NONHSAG018256	Q9UKA9
NONHSAG018266	Q9C0J8
NONHSAG034935	Q8CJG0
NONHSAG034935	Q9C0J8
NONHSAG026381	Q9C0J8
NONHSAG053716	Q9C0J8
NONHSAG053716	F8WD15
NONHSAG053716	B3FTN5
NONHSAG032319	Q9C0J8
NONHSAG032319	Q86V81
NONHSAG005455	P55265
NONHSAG005455	Q9C0J8
NONHSAG000626	Q9C0J8
NONHSAG000626	F8WD15
NONHSAG023185	P55265
NONHSAG023185	Q9C0J8
NONHSAG022655	P55265
NONHSAG022655	Q9C0J8
NONHSAG025200	P14866
NONHSAG025200	P55265
NONHSAG025200	Q8CJG0
NONHSAG025200	Q9C0J8
NONHSAG023258	Q9C0J8
NONHSAG021878	Q9C0J8
NONHSAG007695	Q9C0J8
NONHSAG037411	Q5T481
NONHSAG012555	Q5T481
NONHSAG048073	Q9C0J8
NONHSAG048073	Q8CJG0
NONHSAG048073	F8WD15
NONHSAG048073	H3BRT3
NONHSAG048073	Q8TB72
NONHSAG048073	Q96PU8
NONHSAG048073	K7EKN9
NONHSAG048073	B3FTN5
NONHSAG048073	Q5T481
NONHSAG037137	Q9C0J8
NONHSAG042103	Q9C0J8
NONHSAG053417	Q8CJG0
NONHSAG053417	Q9C0J8
NONHSAG053417	Q9UKA9
NONHSAG053417	Q5T481
NONHSAG032157	Q9C0J8
NONHSAG021338	Q9C0J8
NONHSAG001344	P55265
NONHSAG001344	Q9C0J8
NONHSAG031666	Q9C0J8
NONHSAG033690	Q9C0J8
NONHSAG033690	F8WD15
NONHSAG053892	Q8CJG0
NONHSAG053892	Q9C0J8
NONHSAG013808	Q9C0J8
NONHSAG013183	P14866
NONHSAG013183	P55265
NONHSAG013183	Q8CJG0
NONHSAG013183	Q9C0J8
NONHSAG037131	Q9C0J8
NONHSAG008670	Q9C0J8
NONHSAG008670	Q9UKA9
NONHSAG008670	F8WD15
NONHSAG008670	Q8TB72
NONHSAG008670	Q96PU8
NONHSAG008670	B3FTN5
NONHSAG008670	Q93062
NONHSAG008670	Q5T481
NONHSAG008670	P38432
NONHSAG000386	P14866
NONHSAG000386	P55265
NONHSAG000386	Q9C0J8
NONHSAG041023	Q9C0J8
NONHSAG037900	Q9C0J8
NONHSAG037900	F8WD15
NONHSAG037900	B3FTN5
NONHSAG005891	Q8CJG0
NONHSAG005891	Q9C0J8
NONHSAG032682	P55265
NONHSAG032682	Q9C0J8
NONHSAG028093	P55265
NONHSAG028093	Q9C0J8
NONHSAG028093	F8WD15
NONHSAG028093	H3BRT3
NONHSAG028093	B3FTN5
NONHSAG000579	P55265
NONHSAG000579	Q9C0J8
NONHSAG000579	F8WD15
NONHSAG000579	Q8TB72
NONHSAG000579	B3FTN5
NONHSAG048039	P14866
NONHSAG048039	P55265
NONHSAG048039	Q9C0J8
NONHSAG047466	Q9C0J8
NONHSAG047466	Q5T481
NONHSAG047466	P38432
NONHSAG053763	P55265
NONHSAG053763	Q9C0J8
NONHSAG005499	Q9C0J8
NONHSAG035305	P55265
NONHSAG035305	Q9C0J8
NONHSAG024695	P55265
NONHSAG024695	Q9C0J8
NONHSAG016610	Q9C0J8
NONHSAG034063	Q9C0J8
NONHSAG034063	Q5T481
NONHSAG034063	O75821
NONHSAG050747	Q9C0J8
NONHSAG015969	Q9C0J8
NONHSAG015969	F8WD15
NONHSAG022123	Q9C0J8
NONHSAG016884	Q9C0J8
NONHSAG039335	Q9C0J8
NONHSAG016603	Q9C0J8
NONHSAG016603	F8WD15
NONHSAG016603	B3FTN5
NONHSAG022600	Q9C0J8
NONHSAG041844	Q9C0J8
NONHSAG041844	F8WD15
NONHSAG022595	Q9C0J8
NONHSAG040021	Q9C0J8
NONHSAG001968	Q9C0J8
NONHSAG042360	Q9C0J8
NONHSAG005571	Q9C0J8
NONHSAG006204	Q9C0J8
NONHSAG006204	F8WD15
NONHSAG013199	P14866
NONHSAG013199	P55265
NONHSAG013199	Q9C0J8
NONHSAG023321	Q9C0J8
NONHSAG006198	Q9C0J8
NONHSAG041096	Q9C0J8
NONHSAG049647	Q9C0J8
NONHSAG040320	P55265
NONHSAG040320	Q9C0J8
NONHSAG040320	Q93062
NONHSAG040315	Q9C0J8
NONHSAG011092	Q9C0J8
NONHSAG018624	Q9C0J8
NONHSAG000447	Q9C0J8
NONHSAG013786	Q9C0J8
