count	count
2047	1
1411	2
1280	3
1270	4
1210	5
1098	6
1068	7
997	8
989	9
987	10
936	11
926	12
923	14
908	15
852	16
846	17
827	18
770	19
767	20
759	21
754	23
722	24
705	25
703	26
702	27
700	28
698	29
697	30
695	31
690	32
688	33
681	34
676	35
668	36
667	37
644	38
643	39
631	40
627	41
618	42
614	43
606	44
602	46
600	47
599	48
594	49
591	50
588	51
586	52
584	54
577	55
574	56
572	57
571	59
564	61
562	62
551	63
550	65
547	66
541	69
534	70
532	72
531	74
530	76
527	77
526	79
525	80
521	81
519	83
518	84
514	85
513	86
510	87
509	88
507	89
506	90
503	91
498	92
496	93
495	94
490	95
483	96
480	98
479	99
478	100
474	102
471	104
469	105
468	108
467	109
466	111
463	112
462	115
460	116
459	118
456	121
455	123
453	124
452	126
451	127
449	128
448	129
446	131
443	133
441	134
440	135
438	136
432	137
431	138
428	139
427	140
423	142
422	143
420	144
419	145
418	151
417	154
416	156
414	157
410	158
408	160
407	162
406	164
404	165
403	166
402	168
401	170
400	172
399	174
398	175
397	176
393	177
392	178
391	179
390	182
389	186
388	187
387	191
386	193
383	194
382	197
381	199
380	201
379	202
378	205
377	207
376	208
375	211
374	212
373	215
372	218
371	219
370	222
369	223
368	225
366	230
365	231
364	232
363	233
362	236
361	238
360	239
359	240
358	241
355	243
353	244
352	245
351	246
350	251
349	254
348	256
347	257
346	258
345	264
344	269
343	270
342	271
341	273
340	274
339	275
338	280
336	283
335	285
334	290
332	295
331	300
330	302
328	303
327	304
326	308
325	311
324	321
323	324
322	329
321	330
320	335
319	341
318	345
317	346
315	350
314	356
313	359
311	362
310	363
309	365
308	366
307	369
306	372
305	373
304	376
303	383
302	384
301	387
300	388
299	392
298	397
297	398
296	404
294	409
293	412
292	414
291	419
290	424
289	427
288	430
287	432
286	438
285	444
284	452
283	460
282	464
280	473
279	475
278	479
277	482
276	490
275	492
274	505
273	511
272	515
271	521
270	532
269	536
268	545
267	550
266	556
265	562
264	569
263	570
262	574
261	580
260	590
259	594
258	602
257	609
256	622
255	631
254	644
253	647
252	659
251	663
250	675
249	682
248	690
247	697
246	701
245	705
244	713
243	717
242	727
241	737
240	751
239	758
238	769
237	775
236	786
235	790
234	802
233	808
232	818
231	822
230	832
229	836
228	844
227	848
226	859
225	865
224	876
223	879
222	886
221	887
220	896
219	899
218	903
217	906
216	918
215	920
214	929
213	932
212	941
211	945
210	956
209	959
208	971
207	980
206	993
205	998
204	1013
203	1020
202	1036
201	1045
200	1058
199	1062
198	1068
197	1072
196	1092
195	1099
194	1108
193	1114
192	1127
191	1136
190	1147
189	1159
188	1178
187	1195
186	1207
185	1213
184	1235
183	1241
182	1256
181	1265
180	1283
179	1295
178	1304
177	1311
176	1330
175	1339
174	1355
173	1366
172	1385
171	1391
170	1418
169	1425
168	1442
167	1456
166	1476
165	1491
164	1506
163	1518
162	1544
161	1555
160	1576
159	1590
158	1612
157	1625
156	1654
155	1662
154	1684
153	1698
152	1723
151	1739
150	1762
149	1778
148	1799
147	1806
146	1835
145	1847
144	1878
143	1897
142	1928
141	1945
140	1973
139	1991
138	2012
137	2031
136	2062
135	2076
134	2113
133	2128
132	2159
131	2170
130	2206
129	2221
128	2257
127	2275
126	2315
125	2325
124	2363
123	2376
122	2411
121	2430
120	2470
119	2482
118	2517
117	2535
116	2575
115	2592
114	2632
113	2652
112	2690
111	2700
110	2735
109	2756
108	2811
107	2831
106	2873
105	2891
104	2939
103	2961
102	3003
101	3021
100	3060
99	3072
98	3126
97	3147
96	3190
95	3211
94	3261
93	3279
92	3350
91	3377
90	3429
89	3457
88	3515
87	3534
86	3592
85	3609
84	3681
83	3704
82	3767
81	3789
80	3860
79	3881
78	3950
77	3983
76	4038
75	4066
74	4127
73	4148
72	4206
71	4234
70	4300
69	4318
68	4394
67	4418
66	4519
65	4547
64	4633
63	4664
62	4748
61	4788
60	4891
59	4933
58	5035
57	5060
56	5170
55	5207
54	5308
53	5343
52	5446
51	5489
50	5604
