estimator,validation_setting,dataset,fold,start_time,TT__auprc,LL__auprc,LL__auroc,TL__auroc,TL__auprc,LT__auprc,TT__auroc,LT__auroc,LL_M__auprc,LL_M__auroc
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,0,2024-11-24 15:02:47.935000+00:00,0.1512770562770563,0.7531230864631038,0.966561087066902,0.8848770277341707,0.1164098007961187,0.28131822202091783,0.7354838709677419,0.813339015555082,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,1,2024-11-24 15:09:50.351000+00:00,0.14583333333333331,0.7413071606127862,0.9640585393849539,0.8505415162454874,0.24514288421605493,0.2736924220581821,0.9044943820224719,0.8411894273127754,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,2,2024-11-24 15:10:28.851000+00:00,0.1058765172735761,0.7253909947125419,0.9633551443514152,0.781939338235294,0.10167491845778462,0.43883814724124154,0.6462765957446808,0.8844790928419561,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,3,2024-11-24 15:12:02.149000+00:00,0.019230769230769232,0.7595809287137174,0.9643227622999407,0.8246047430830039,0.17061693093931096,0.37483923915024636,0.43333333333333335,0.8098989898989899,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,4,2024-11-24 15:12:57.283000+00:00,0.16285033180851746,0.8059393691397088,0.9813664596273293,0.8909615384615385,0.5186883870530792,0.3372183628018997,0.7010752688172043,0.8082250159812487,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,5,2024-11-24 15:13:40.729000+00:00,0.15306290458767238,0.7653907287545643,0.9771146830825354,0.8604868913857677,0.4497527887448239,0.23242465894420986,0.8162790697674418,0.8411764705882352,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,6,2024-11-24 15:13:51.217000+00:00,0.16315697980283173,0.7613625901876733,0.967866471483108,0.8564423076923078,0.40120594270260784,0.5184332961003362,0.7913978494623657,0.88475,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,7,2024-11-24 15:14:00.992000+00:00,0.35959999163324663,0.777018755144958,0.9722912919267802,0.8518382352941177,0.35560230398521664,0.33843216402399484,0.7802469135802469,0.8418803418803418,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,8,2024-11-24 15:14:53.624000+00:00,0.2881489260721607,0.779834694153999,0.9810263266145619,0.7702275600505689,0.38875871568758474,0.2569953756227196,0.7847866419294991,0.80138671438157,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,9,2024-11-24 15:15:01.912000+00:00,0.08486932422416293,0.7223865984404414,0.9770382612179488,0.80625,0.2969361619355229,0.23859187152890615,0.578082191780822,0.8491890583393851,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,10,2024-11-24 15:16:44.928000+00:00,0.18055555555555555,0.7178475380142922,0.9751040603157151,0.7052052052052052,0.38205107606182487,0.4184169094630819,0.7983539094650205,0.8365139949109415,,
nrlmf_dwnn_square_bxt_bgso,TT,dpi_n,11,2024-11-24 15:17:03.212000+00:00,0.22539682539682543,0.7895942473621631,0.977714342948718,0.6432900432900434,0.2410316379504013,0.424758230245984,0.8148148148148149,0.7893972403776325,,
